                0       TOTAL        AMBER     CONTACTS          SOL           HB  | TEMPERATURE
Sim Anneal  25000  2.2885e+03   2.1356e+03   9.8429e+02   1.6567e+03  -2.4880e+03  |  0.000
ILSRR 2288.5123496223323 1868.4254456162357 
Sim Anneal      0  5.0886e+10   5.0886e+10   7.5913e+03   1.9088e+03  -2.7591e+03  | -1.000
Sim Anneal   1000  5.1520e+03   3.0117e+03   3.1832e+03   1.4137e+03  -2.4566e+03  | 960.000
Sim Anneal   2000  4.8440e+03   2.7053e+03   3.0833e+03   1.5128e+03  -2.4573e+03  | 920.000
Sim Anneal   3000  4.4983e+03   2.6213e+03   2.8228e+03   1.5137e+03  -2.4595e+03  | 880.000
Sim Anneal   4000  4.3994e+03   2.6255e+03   2.6963e+03   1.5387e+03  -2.4612e+03  | 840.000
Sim Anneal   5000  4.1451e+03   2.5693e+03   2.4476e+03   1.5869e+03  -2.4587e+03  | 800.000
Sim Anneal   6000  3.9549e+03   2.4133e+03   2.4080e+03   1.5931e+03  -2.4595e+03  | 760.000
Sim Anneal   7000  3.9075e+03   2.3995e+03   2.3720e+03   1.5963e+03  -2.4603e+03  | 720.000
Sim Anneal   8000  3.8438e+03   2.3363e+03   2.3778e+03   1.5956e+03  -2.4659e+03  | 680.000
Sim Anneal   9000  3.7806e+03   2.3836e+03   2.2883e+03   1.5807e+03  -2.4720e+03  | 640.000
Sim Anneal  10000  3.7727e+03   2.4608e+03   2.2312e+03   1.5520e+03  -2.4714e+03  | 600.000
Sim Anneal  11000  3.5597e+03   2.3846e+03   2.0429e+03   1.6140e+03  -2.4818e+03  | 560.000
Sim Anneal  12000  3.5431e+03   2.4728e+03   1.9205e+03   1.6324e+03  -2.4826e+03  | 520.000
Sim Anneal  13000  3.4711e+03   2.4030e+03   1.9289e+03   1.6106e+03  -2.4715e+03  | 480.000
Sim Anneal  14000  3.1510e+03   2.3758e+03   1.5508e+03   1.6937e+03  -2.4693e+03  | 440.000
Sim Anneal  15000  3.0618e+03   2.2808e+03   1.5390e+03   1.7088e+03  -2.4667e+03  | 400.000
Sim Anneal  16000  3.0530e+03   2.2912e+03   1.5214e+03   1.7092e+03  -2.4688e+03  | 360.000
Sim Anneal  17000  3.0499e+03   2.2661e+03   1.5475e+03   1.7040e+03  -2.4677e+03  | 320.000
Sim Anneal  18000  3.0229e+03   2.2638e+03   1.5254e+03   1.7051e+03  -2.4714e+03  | 280.000
