 STAGE_1 STEP 42     | E(total)= 181.7518   | AR= 35.7 %  | T= 0.0086  | E(ani)= -6.5936    | E(cls)= 188.3455  
 STAGE_1 STEP 43     | E(total)= 181.7518   | AR= 34.9 %  | T= 0.0086  | E(ani)= -6.5936    | E(cls)= 188.3455  
 STAGE_1 STEP 44     | E(total)= 181.7518   | AR= 34.1 %  | T= 0.0086  | E(ani)= -6.5936    | E(cls)= 188.3455  
 STAGE_1 STEP 45     | E(total)= 179.4764   | AR= 35.6 %  | T= 0.0085  | E(ani)= -6.2072    | E(cls)= 185.6836  
 STAGE_1 STEP 46     | E(total)= 179.4764   | AR= 34.8 %  | T= 0.0085  | E(ani)= -6.2072    | E(cls)= 185.6836  
 STAGE_1 STEP 47     | E(total)= 179.4764   | AR= 34.0 %  | T= 0.0085  | E(ani)= -6.2072    | E(cls)= 185.6836  
 STAGE_1 STEP 48     | E(total)= 179.4764   | AR= 33.3 %  | T= 0.0084  | E(ani)= -6.2072    | E(cls)= 185.6836  
 STAGE_1 STEP 49     | E(total)= 179.4764   | AR= 32.7 %  | T= 0.0084  | E(ani)= -6.2072    | E(cls)= 185.6836  
 STAGE_1 STEP 50     | E(total)= 179.4764   | AR= 32.0 %  | T= 0.0084  | E(ani)= -6.2072    | E(cls)= 185.6836  
 STAGE_1 STEP 51     | E(total)= 179.4764   | AR= 31.4 %  | T= 0.0083  | E(ani)= -6.2072    | E(cls)= 185.6836  
 STAGE_1 STEP 52     | E(total)= 179.0758   | AR= 32.7 %  | T= 0.0083  | E(ani)= -7.0655    | E(cls)= 186.1414  
 STAGE_1 STEP 53     | E(total)= 154.7350   | AR= 34.0 %  | T= 0.0083  | E(ani)= -7.1876    | E(cls)= 161.9226  
 STAGE_1 STEP 54     | E(total)= 147.3868   | AR= 35.2 %  | T= 0.0082  | E(ani)= -7.1001    | E(cls)= 154.4869  
 STAGE_1 STEP 55     | E(total)= 147.0451   | AR= 36.4 %  | T= 0.0082  | E(ani)= -7.6984    | E(cls)= 154.7435  
 STAGE_1 STEP 56     | E(total)= 147.0451   | AR= 35.7 %  | T= 0.0082  | E(ani)= -7.6984    | E(cls)= 154.7435  
 STAGE_1 STEP 57     | E(total)= 147.0451   | AR= 35.1 %  | T= 0.0081  | E(ani)= -7.6984    | E(cls)= 154.7435  
 STAGE_1 STEP 58     | E(total)= 147.0451   | AR= 34.5 %  | T= 0.0081  | E(ani)= -7.6984    | E(cls)= 154.7435  
 STAGE_1 STEP 59     | E(total)= 143.0339   | AR= 35.6 %  | T= 0.0081  | E(ani)= -7.5769    | E(cls)= 150.6108  
 STAGE_1 STEP 60     | E(total)= 140.0853   | AR= 36.7 %  | T= 0.0080  | E(ani)= -7.5331    | E(cls)= 147.6184  
 STAGE_1 STEP 61     | E(total)= 140.0853   | AR= 36.1 %  | T= 0.0080  | E(ani)= -7.5331    | E(cls)= 147.6184  
 STAGE_1 STEP 62     | E(total)= 140.0853   | AR= 35.5 %  | T= 0.0080  | E(ani)= -7.5331    | E(cls)= 147.6184  
 STAGE_1 STEP 63     | E(total)= 127.4320   | AR= 36.5 %  | T= 0.0079  | E(ani)= -7.8067    | E(cls)= 135.2387  
 STAGE_1 STEP 64     | E(total)= 127.4320   | AR= 35.9 %  | T= 0.0079  | E(ani)= -7.8067    | E(cls)= 135.2387  
 STAGE_1 STEP 65     | E(total)= 127.4320   | AR= 35.4 %  | T= 0.0079  | E(ani)= -7.8067    | E(cls)= 135.2387  
 STAGE_1 STEP 66     | E(total)= 127.4320   | AR= 34.8 %  | T= 0.0078  | E(ani)= -7.8067    | E(cls)= 135.2387  
 STAGE_1 STEP 67     | E(total)= 126.4131   | AR= 35.8 %  | T= 0.0078  | E(ani)= -7.1295    | E(cls)= 133.5426  
 STAGE_1 STEP 68     | E(total)= 126.4131   | AR= 35.3 %  | T= 0.0078  | E(ani)= -7.1295    | E(cls)= 133.5426  
 STAGE_1 STEP 69     | E(total)= 126.4131   | AR= 34.8 %  | T= 0.0077  | E(ani)= -7.1295    | E(cls)= 133.5426  
 STAGE_1 STEP 70     | E(total)= 126.4131   | AR= 34.3 %  | T= 0.0077  | E(ani)= -7.1295    | E(cls)= 133.5426  
 STAGE_1 STEP 71     | E(total)= 126.4131   | AR= 33.8 %  | T= 0.0077  | E(ani)= -7.1295    | E(cls)= 133.5426  
 STAGE_1 STEP 72     | E(total)= 126.4131   | AR= 33.3 %  | T= 0.0076  | E(ani)= -7.1295    | E(cls)= 133.5426  
 STAGE_1 STEP 73     | E(total)= 121.5649   | AR= 34.2 %  | T= 0.0076  | E(ani)= -7.7327    | E(cls)= 129.2976  
 STAGE_1 STEP 74     | E(total)= 121.5649   | AR= 33.8 %  | T= 0.0076  | E(ani)= -7.7327    | E(cls)= 129.2976  
 STAGE_1 STEP 75     | E(total)= 121.5649   | AR= 33.3 %  | T= 0.0075  | E(ani)= -7.7327    | E(cls)= 129.2976  
 STAGE_1 STEP 76     | E(total)= 121.5649   | AR= 32.9 %  | T= 0.0075  | E(ani)= -7.7327    | E(cls)= 129.2976  
 STAGE_1 STEP 77     | E(total)= 121.5649   | AR= 32.5 %  | T= 0.0075  | E(ani)= -7.7327    | E(cls)= 129.2976  
 STAGE_1 STEP 78     | E(total)= 121.5649   | AR= 32.1 %  | T= 0.0074  | E(ani)= -7.7327    | E(cls)= 129.2976  
 STAGE_1 STEP 79     | E(total)= 121.5649   | AR= 31.6 %  | T= 0.0074  | E(ani)= -7.7327    | E(cls)= 129.2976  
 STAGE_1 STEP 80     | E(total)= 114.7736   | AR= 32.5 %  | T= 0.0074  | E(ani)= -7.7138    | E(cls)= 122.4874  
 STAGE_1 STEP 81     | E(total)= 114.7736   | AR= 32.1 %  | T= 0.0073  | E(ani)= -7.7138    | E(cls)= 122.4874  
 STAGE_1 STEP 82     | E(total)= 114.7736   | AR= 31.7 %  | T= 0.0073  | E(ani)= -7.7138    | E(cls)= 122.4874  
 STAGE_1 STEP 83     | E(total)= 114.7736   | AR= 31.3 %  | T= 0.0073  | E(ani)= -7.7138    | E(cls)= 122.4874  
 STAGE_1 STEP 84     | E(total)= 114.7736   | AR= 31.0 %  | T= 0.0072  | E(ani)= -7.7138    | E(cls)= 122.4874  
 STAGE_1 STEP 85     | E(total)= 114.7736   | AR= 30.6 %  | T= 0.0072  | E(ani)= -7.7138    | E(cls)= 122.4874  
 STAGE_1 STEP 86     | E(total)= 114.7736   | AR= 30.2 %  | T= 0.0072  | E(ani)= -7.7138    | E(cls)= 122.4874  
 STAGE_1 STEP 87     | E(total)= 114.7736   | AR= 29.9 %  | T= 0.0071  | E(ani)= -7.7138    | E(cls)= 122.4874  
 STAGE_1 STEP 88     | E(total)= 114.7736   | AR= 29.5 %  | T= 0.0071  | E(ani)= -7.7138    | E(cls)= 122.4874  
 STAGE_1 STEP 89     | E(total)= 114.7736   | AR= 29.2 %  | T= 0.0071  | E(ani)= -7.7138    | E(cls)= 122.4874  
 STAGE_1 STEP 90     | E(total)= 114.7736   | AR= 28.9 %  | T= 0.0070  | E(ani)= -7.7138    | E(cls)= 122.4874  
 STAGE_1 STEP 91     | E(total)= 114.7736   | AR= 28.6 %  | T= 0.0070  | E(ani)= -7.7138    | E(cls)= 122.4874  
 STAGE_1 STEP 92     | E(total)= 114.7736   | AR= 28.3 %  | T= 0.0070  | E(ani)= -7.7138    | E(cls)= 122.4874  
 STAGE_1 STEP 93     | E(total)= 114.7736   | AR= 28.0 %  | T= 0.0069  | E(ani)= -7.7138    | E(cls)= 122.4874  
 STAGE_1 STEP 94     | E(total)= 114.7736   | AR= 27.7 %  | T= 0.0069  | E(ani)= -7.7138    | E(cls)= 122.4874  
 STAGE_1 STEP 95     | E(total)= 114.7736   | AR= 27.4 %  | T= 0.0069  | E(ani)= -7.7138    | E(cls)= 122.4874  
 STAGE_1 STEP 96     | E(total)= 98.2711    | AR= 28.1 %  | T= 0.0068  | E(ani)= -7.5732    | E(cls)= 105.8444  
 STAGE_1 STEP 97     | E(total)= 98.2711    | AR= 27.8 %  | T= 0.0068  | E(ani)= -7.5732    | E(cls)= 105.8444  
 STAGE_1 STEP 98     | E(total)= 98.2711    | AR= 27.6 %  | T= 0.0068  | E(ani)= -7.5732    | E(cls)= 105.8444  
 STAGE_1 STEP 99     | E(total)= 98.2711    | AR= 27.3 %  | T= 0.0067  | E(ani)= -7.5732    | E(cls)= 105.8444  
 STAGE_1 STEP 100    | E(total)= 98.2711    | AR= 27.0 %  | T= 0.0067  | E(ani)= -7.5732    | E(cls)= 105.8444  
 STAGE_1 STEP 101    | E(total)= 77.7015    | AR= 27.7 %  | T= 0.0067  | E(ani)= -8.3579    | E(cls)= 86.0594   
 STAGE_1 STEP 102    | E(total)= 77.7015    | AR= 27.5 %  | T= 0.0066  | E(ani)= -8.3579    | E(cls)= 86.0594   
 STAGE_1 STEP 103    | E(total)= 77.7015    | AR= 27.2 %  | T= 0.0066  | E(ani)= -8.3579    | E(cls)= 86.0594   
 STAGE_1 STEP 104    | E(total)= 77.7015    | AR= 26.9 %  | T= 0.0066  | E(ani)= -8.3579    | E(cls)= 86.0594   
 STAGE_1 STEP 105    | E(total)= 77.7015    | AR= 26.7 %  | T= 0.0065  | E(ani)= -8.3579    | E(cls)= 86.0594   
 STAGE_1 STEP 106    | E(total)= 77.0208    | AR= 27.4 %  | T= 0.0065  | E(ani)= -8.3167    | E(cls)= 85.3375   
 STAGE_1 STEP 107    | E(total)= 77.0208    | AR= 27.1 %  | T= 0.0065  | E(ani)= -8.3167    | E(cls)= 85.3375   
 STAGE_1 STEP 108    | E(total)= 77.0208    | AR= 26.9 %  | T= 0.0064  | E(ani)= -8.3167    | E(cls)= 85.3375   
 STAGE_1 STEP 109    | E(total)= 77.0208    | AR= 26.6 %  | T= 0.0064  | E(ani)= -8.3167    | E(cls)= 85.3375   
 STAGE_1 STEP 110    | E(total)= 77.0208    | AR= 26.4 %  | T= 0.0064  | E(ani)= -8.3167    | E(cls)= 85.3375   
 STAGE_1 STEP 111    | E(total)= 77.0208    | AR= 26.1 %  | T= 0.0063  | E(ani)= -8.3167    | E(cls)= 85.3375   
 STAGE_1 STEP 112    | E(total)= 77.0208    | AR= 25.9 %  | T= 0.0063  | E(ani)= -8.3167    | E(cls)= 85.3375   
 STAGE_1 STEP 113    | E(total)= 72.6226    | AR= 26.5 %  | T= 0.0063  | E(ani)= -8.3817    | E(cls)= 81.0043   
 STAGE_1 STEP 114    | E(total)= 72.6226    | AR= 26.3 %  | T= 0.0062  | E(ani)= -8.3817    | E(cls)= 81.0043   
 STAGE_1 STEP 115    | E(total)= 72.6226    | AR= 26.1 %  | T= 0.0062  | E(ani)= -8.3817    | E(cls)= 81.0043   
 STAGE_1 STEP 116    | E(total)= 72.6226    | AR= 25.9 %  | T= 0.0062  | E(ani)= -8.3817    | E(cls)= 81.0043   
 STAGE_1 STEP 117    | E(total)= 72.6226    | AR= 25.6 %  | T= 0.0061  | E(ani)= -8.3817    | E(cls)= 81.0043   
 STAGE_1 STEP 118    | E(total)= 72.6226    | AR= 25.4 %  | T= 0.0061  | E(ani)= -8.3817    | E(cls)= 81.0043   
 STAGE_1 STEP 119    | E(total)= 72.6226    | AR= 25.2 %  | T= 0.0061  | E(ani)= -8.3817    | E(cls)= 81.0043   
 STAGE_1 STEP 120    | E(total)= 72.6226    | AR= 25.0 %  | T= 0.0060  | E(ani)= -8.3817    | E(cls)= 81.0043   
 STAGE_1 STEP 121    | E(total)= 72.6226    | AR= 24.8 %  | T= 0.0060  | E(ani)= -8.3817    | E(cls)= 81.0043   
 STAGE_1 STEP 122    | E(total)= 72.6226    | AR= 24.6 %  | T= 0.0060  | E(ani)= -8.3817    | E(cls)= 81.0043   
 STAGE_1 STEP 123    | E(total)= 72.6226    | AR= 24.4 %  | T= 0.0059  | E(ani)= -8.3817    | E(cls)= 81.0043   
 STAGE_1 STEP 124    | E(total)= 72.6226    | AR= 24.2 %  | T= 0.0059  | E(ani)= -8.3817    | E(cls)= 81.0043   
 STAGE_1 STEP 125    | E(total)= 72.6226    | AR= 24.0 %  | T= 0.0059  | E(ani)= -8.3817    | E(cls)= 81.0043   
 STAGE_1 STEP 126    | E(total)= 72.6226    | AR= 23.8 %  | T= 0.0058  | E(ani)= -8.3817    | E(cls)= 81.0043   
 STAGE_1 STEP 127    | E(total)= 72.6226    | AR= 23.6 %  | T= 0.0058  | E(ani)= -8.3817    | E(cls)= 81.0043   
 STAGE_1 STEP 128    | E(total)= 55.7150    | AR= 24.2 %  | T= 0.0058  | E(ani)= -8.4839    | E(cls)= 64.1989   
 STAGE_1 STEP 129    | E(total)= 55.7150    | AR= 24.0 %  | T= 0.0057  | E(ani)= -8.4839    | E(cls)= 64.1989   
 STAGE_1 STEP 130    | E(total)= 52.8047    | AR= 24.6 %  | T= 0.0057  | E(ani)= -8.5674    | E(cls)= 61.3721   
 STAGE_1 STEP 131    | E(total)= 52.8047    | AR= 24.4 %  | T= 0.0057  | E(ani)= -8.5674    | E(cls)= 61.3721   
 STAGE_1 STEP 132    | E(total)= 52.8047    | AR= 24.2 %  | T= 0.0056  | E(ani)= -8.5674    | E(cls)= 61.3721   
 STAGE_1 STEP 133    | E(total)= 52.8047    | AR= 24.1 %  | T= 0.0056  | E(ani)= -8.5674    | E(cls)= 61.3721   
 STAGE_1 STEP 134    | E(total)= 52.8047    | AR= 23.9 %  | T= 0.0056  | E(ani)= -8.5674    | E(cls)= 61.3721   
 STAGE_1 STEP 135    | E(total)= 52.8047    | AR= 23.7 %  | T= 0.0055  | E(ani)= -8.5674    | E(cls)= 61.3721   
 STAGE_1 STEP 136    | E(total)= 52.8047    | AR= 23.5 %  | T= 0.0055  | E(ani)= -8.5674    | E(cls)= 61.3721   
 STAGE_1 STEP 137    | E(total)= 52.8047    | AR= 23.4 %  | T= 0.0055  | E(ani)= -8.5674    | E(cls)= 61.3721   
 STAGE_1 STEP 138    | E(total)= 52.8047    | AR= 23.2 %  | T= 0.0054  | E(ani)= -8.5674    | E(cls)= 61.3721   
 STAGE_1 STEP 139    | E(total)= 51.0750    | AR= 23.7 %  | T= 0.0054  | E(ani)= -8.5454    | E(cls)= 59.6205   
 STAGE_1 STEP 140    | E(total)= 51.0750    | AR= 23.6 %  | T= 0.0054  | E(ani)= -8.5454    | E(cls)= 59.6205   
 STAGE_1 STEP 141    | E(total)= 51.0750    | AR= 23.4 %  | T= 0.0053  | E(ani)= -8.5454    | E(cls)= 59.6205   
 STAGE_1 STEP 142    | E(total)= 51.0750    | AR= 23.2 %  | T= 0.0053  | E(ani)= -8.5454    | E(cls)= 59.6205   
 STAGE_1 STEP 143    | E(total)= 51.0750    | AR= 23.1 %  | T= 0.0053  | E(ani)= -8.5454    | E(cls)= 59.6205   
 STAGE_1 STEP 144    | E(total)= 51.0750    | AR= 22.9 %  | T= 0.0052  | E(ani)= -8.5454    | E(cls)= 59.6205   
 STAGE_1 STEP 145    | E(total)= 51.0750    | AR= 22.8 %  | T= 0.0052  | E(ani)= -8.5454    | E(cls)= 59.6205   
 STAGE_1 STEP 146    | E(total)= 51.0750    | AR= 22.6 %  | T= 0.0052  | E(ani)= -8.5454    | E(cls)= 59.6205   
 STAGE_1 STEP 147    | E(total)= 51.0750    | AR= 22.4 %  | T= 0.0051  | E(ani)= -8.5454    | E(cls)= 59.6205   
 STAGE_1 STEP 148    | E(total)= 51.0750    | AR= 22.3 %  | T= 0.0051  | E(ani)= -8.5454    | E(cls)= 59.6205   
 STAGE_1 STEP 149    | E(total)= 51.0750    | AR= 22.1 %  | T= 0.0051  | E(ani)= -8.5454    | E(cls)= 59.6205   
 STAGE_1 STEP 150    | E(total)= 51.0750    | AR= 22.0 %  | T= 0.0050  | E(ani)= -8.5454    | E(cls)= 59.6205   
 STAGE_1 STEP 151    | E(total)= 51.0750    | AR= 21.9 %  | T= 0.0050  | E(ani)= -8.5454    | E(cls)= 59.6205   
 STAGE_1 STEP 152    | E(total)= 49.8649    | AR= 22.4 %  | T= 0.0050  | E(ani)= -8.5720    | E(cls)= 58.4368   
