Start:  1 | Cycle:  2 | Step:  400 | Energy:     -4.98234 | Acceptance Rate: 0.6575 (263 ) | Temperature: 0.0694 | Step size: 0.6936
Start:  1 | Cycle:  2 | Step:  500 | Energy:     -4.93314 | Acceptance Rate: 0.6760 (338 ) | Temperature: 0.0667 | Step size: 0.6669
Start:  1 | Cycle:  2 | Step:  600 | Energy:     -5.09837 | Acceptance Rate: 0.6667 (400 ) | Temperature: 0.0640 | Step size: 0.6403
Start:  1 | Cycle:  2 | Step:  700 | Energy:     -5.03755 | Acceptance Rate: 0.6614 (463 ) | Temperature: 0.0614 | Step size: 0.6136
Start:  1 | Cycle:  2 | Step:  800 | Energy:     -5.08844 | Acceptance Rate: 0.6462 (517 ) | Temperature: 0.0587 | Step size: 0.5869
Start:  1 | Cycle:  2 | Step:  900 | Energy:     -5.08093 | Acceptance Rate: 0.6511 (586 ) | Temperature: 0.0560 | Step size: 0.5603
Start:  1 | Cycle:  2 | Step: 1000 | Energy:     -5.09969 | Acceptance Rate: 0.6580 (658 ) | Temperature: 0.0534 | Step size: 0.5336
Start:  1 | Cycle:  2 | Step: 1100 | Energy:     -5.08083 | Acceptance Rate: 0.6482 (713 ) | Temperature: 0.0507 | Step size: 0.5069
Start:  1 | Cycle:  2 | Step: 1200 | Energy:     -5.06242 | Acceptance Rate: 0.6525 (783 ) | Temperature: 0.0480 | Step size: 0.4803
Start:  1 | Cycle:  2 | Step: 1300 | Energy:     -4.98217 | Acceptance Rate: 0.6469 (841 ) | Temperature: 0.0454 | Step size: 0.4536
Start:  1 | Cycle:  2 | Step: 1400 | Energy:     -4.99252 | Acceptance Rate: 0.6543 (916 ) | Temperature: 0.0427 | Step size: 0.4269
Start:  1 | Cycle:  2 | Step: 1500 | Energy:     -4.95289 | Acceptance Rate: 0.6580 (987 ) | Temperature: 0.0400 | Step size: 0.4003
Start:  1 | Cycle:  2 | Step: 1600 | Energy:     -5.07551 | Acceptance Rate: 0.6556 (1049) | Temperature: 0.0374 | Step size: 0.3736
Start:  1 | Cycle:  2 | Step: 1700 | Energy:     -5.06522 | Acceptance Rate: 0.6541 (1112) | Temperature: 0.0347 | Step size: 0.3469
Start:  1 | Cycle:  2 | Step: 1800 | Energy:     -5.00376 | Acceptance Rate: 0.6550 (1179) | Temperature: 0.0320 | Step size: 0.3203
Start:  1 | Cycle:  2 | Step: 1900 | Energy:     -5.04261 | Acceptance Rate: 0.6558 (1246) | Temperature: 0.0294 | Step size: 0.2936
Start:  1 | Cycle:  2 | Step: 2000 | Energy:     -5.05024 | Acceptance Rate: 0.6535 (1307) | Temperature: 0.0267 | Step size: 0.2669
Start:  1 | Cycle:  2 | Step: 2100 | Energy:     -5.16200 | Acceptance Rate: 0.6519 (1369) | Temperature: 0.0240 | Step size: 0.2403
Start:  1 | Cycle:  2 | Step: 2200 | Energy:     -5.17427 | Acceptance Rate: 0.6532 (1437) | Temperature: 0.0214 | Step size: 0.2136
Start:  1 | Cycle:  2 | Step: 2300 | Energy:     -5.20748 | Acceptance Rate: 0.6561 (1509) | Temperature: 0.0187 | Step size: 0.1869
Start:  1 | Cycle:  2 | Step: 2400 | Energy:     -5.20594 | Acceptance Rate: 0.6575 (1578) | Temperature: 0.0160 | Step size: 0.1603
Start:  1 | Cycle:  2 | Step: 2500 | Energy:     -5.17321 | Acceptance Rate: 0.6600 (1650) | Temperature: 0.0134 | Step size: 0.1336
Start:  1 | Cycle:  2 | Step: 2600 | Energy:     -5.11611 | Acceptance Rate: 0.6623 (1722) | Temperature: 0.0107 | Step size: 0.1069
Start:  1 | Cycle:  2 | Step: 2700 | Energy:     -5.17961 | Acceptance Rate: 0.6637 (1792) | Temperature: 0.0080 | Step size: 0.0803
Start:  1 | Cycle:  2 | Step: 2800 | Energy:     -5.19028 | Acceptance Rate: 0.6600 (1848) | Temperature: 0.0054 | Step size: 0.0536
Start:  1 | Cycle:  2 | Step: 2900 | Energy:     -5.19242 | Acceptance Rate: 0.6569 (1905) | Temperature: 0.0027 | Step size: 0.0269
Start:  1 | Cycle:  2 | Step: 3000 | Energy:     -5.20235 | Acceptance Rate: 0.6590 (1977) | Temperature: 0.0000 | Step size: 0.0003
Start:  1 | Cycle:  3 | Step:  100 | Energy:     -4.99677 | Acceptance Rate: 0.5300 (53  ) | Temperature: 0.0580 | Step size: 0.5802
Start:  1 | Cycle:  3 | Step:  200 | Energy:     -5.08697 | Acceptance Rate: 0.5800 (116 ) | Temperature: 0.0560 | Step size: 0.5602
Start:  1 | Cycle:  3 | Step:  300 | Energy:     -5.08758 | Acceptance Rate: 0.6367 (191 ) | Temperature: 0.0540 | Step size: 0.5402
Start:  1 | Cycle:  3 | Step:  400 | Energy:     -5.12638 | Acceptance Rate: 0.6150 (246 ) | Temperature: 0.0520 | Step size: 0.5202
Start:  1 | Cycle:  3 | Step:  500 | Energy:     -5.13189 | Acceptance Rate: 0.6240 (312 ) | Temperature: 0.0500 | Step size: 0.5002
Start:  1 | Cycle:  3 | Step:  600 | Energy:     -5.03757 | Acceptance Rate: 0.6167 (370 ) | Temperature: 0.0480 | Step size: 0.4802
Start:  1 | Cycle:  3 | Step:  700 | Energy:     -4.94865 | Acceptance Rate: 0.6229 (436 ) | Temperature: 0.0460 | Step size: 0.4602
Start:  1 | Cycle:  3 | Step:  800 | Energy:     -5.01842 | Acceptance Rate: 0.6362 (509 ) | Temperature: 0.0440 | Step size: 0.4402
Start:  1 | Cycle:  3 | Step:  900 | Energy:     -5.02244 | Acceptance Rate: 0.6278 (565 ) | Temperature: 0.0420 | Step size: 0.4202
Start:  1 | Cycle:  3 | Step: 1000 | Energy:     -5.15582 | Acceptance Rate: 0.6230 (623 ) | Temperature: 0.0400 | Step size: 0.4002
Start:  1 | Cycle:  3 | Step: 1100 | Energy:     -4.98960 | Acceptance Rate: 0.6227 (685 ) | Temperature: 0.0380 | Step size: 0.3802
Start:  1 | Cycle:  3 | Step: 1200 | Energy:     -5.10580 | Acceptance Rate: 0.6300 (756 ) | Temperature: 0.0360 | Step size: 0.3602
Start:  1 | Cycle:  3 | Step: 1300 | Energy:     -5.17429 | Acceptance Rate: 0.6377 (829 ) | Temperature: 0.0340 | Step size: 0.3402
Start:  1 | Cycle:  3 | Step: 1400 | Energy:     -5.13814 | Acceptance Rate: 0.6364 (891 ) | Temperature: 0.0320 | Step size: 0.3202
Start:  1 | Cycle:  3 | Step: 1500 | Energy:     -5.10668 | Acceptance Rate: 0.6373 (956 ) | Temperature: 0.0300 | Step size: 0.3002
Start:  1 | Cycle:  3 | Step: 1600 | Energy:     -5.06879 | Acceptance Rate: 0.6456 (1033) | Temperature: 0.0280 | Step size: 0.2802
Start:  1 | Cycle:  3 | Step: 1700 | Energy:     -5.09891 | Acceptance Rate: 0.6500 (1105) | Temperature: 0.0260 | Step size: 0.2602
Start:  1 | Cycle:  3 | Step: 1800 | Energy:     -5.09245 | Acceptance Rate: 0.6461 (1163) | Temperature: 0.0240 | Step size: 0.2402
Start:  1 | Cycle:  3 | Step: 1900 | Energy:     -5.13604 | Acceptance Rate: 0.6363 (1209) | Temperature: 0.0220 | Step size: 0.2202
Start:  1 | Cycle:  3 | Step: 2000 | Energy:     -5.12312 | Acceptance Rate: 0.6405 (1281) | Temperature: 0.0200 | Step size: 0.2002
Start:  1 | Cycle:  3 | Step: 2100 | Energy:     -5.12928 | Acceptance Rate: 0.6414 (1347) | Temperature: 0.0180 | Step size: 0.1802
Start:  1 | Cycle:  3 | Step: 2200 | Energy:     -5.12276 | Acceptance Rate: 0.6482 (1426) | Temperature: 0.0160 | Step size: 0.1602
Start:  1 | Cycle:  3 | Step: 2300 | Energy:     -5.10827 | Acceptance Rate: 0.6478 (1490) | Temperature: 0.0140 | Step size: 0.1402
Start:  1 | Cycle:  3 | Step: 2400 | Energy:     -5.13388 | Acceptance Rate: 0.6475 (1554) | Temperature: 0.0120 | Step size: 0.1202
Start:  1 | Cycle:  3 | Step: 2500 | Energy:     -5.13508 | Acceptance Rate: 0.6504 (1626) | Temperature: 0.0100 | Step size: 0.1002
Start:  1 | Cycle:  3 | Step: 2600 | Energy:     -5.14397 | Acceptance Rate: 0.6465 (1681) | Temperature: 0.0080 | Step size: 0.0802
Start:  1 | Cycle:  3 | Step: 2700 | Energy:     -5.13627 | Acceptance Rate: 0.6463 (1745) | Temperature: 0.0060 | Step size: 0.0602
Start:  1 | Cycle:  3 | Step: 2800 | Energy:     -5.19700 | Acceptance Rate: 0.6475 (1813) | Temperature: 0.0040 | Step size: 0.0402
Start:  1 | Cycle:  3 | Step: 2900 | Energy:     -5.19148 | Acceptance Rate: 0.6521 (1891) | Temperature: 0.0020 | Step size: 0.0202
Start:  1 | Cycle:  3 | Step: 3000 | Energy:     -5.20161 | Acceptance Rate: 0.6580 (1974) | Temperature: 0.0000 | Step size: 0.0002
Start:  1 | Cycle:  4 | Step:  100 | Energy:     -5.11934 | Acceptance Rate: 0.7300 (73  ) | Temperature: 0.0387 | Step size: 0.3868
Start:  1 | Cycle:  4 | Step:  200 | Energy:     -5.07969 | Acceptance Rate: 0.7050 (141 ) | Temperature: 0.0373 | Step size: 0.3735
Start:  1 | Cycle:  4 | Step:  300 | Energy:     -5.13951 | Acceptance Rate: 0.6700 (201 ) | Temperature: 0.0360 | Step size: 0.3601
Start:  1 | Cycle:  4 | Step:  400 | Energy:     -5.10477 | Acceptance Rate: 0.6575 (263 ) | Temperature: 0.0347 | Step size: 0.3468
Start:  1 | Cycle:  4 | Step:  500 | Energy:     -5.12768 | Acceptance Rate: 0.6520 (326 ) | Temperature: 0.0333 | Step size: 0.3335
Start:  1 | Cycle:  4 | Step:  600 | Energy:     -5.19704 | Acceptance Rate: 0.6317 (379 ) | Temperature: 0.0320 | Step size: 0.3201
Start:  1 | Cycle:  4 | Step:  700 | Energy:     -5.14151 | Acceptance Rate: 0.6086 (426 ) | Temperature: 0.0307 | Step size: 0.3068
Start:  1 | Cycle:  4 | Step:  800 | Energy:     -5.17093 | Acceptance Rate: 0.5962 (477 ) | Temperature: 0.0293 | Step size: 0.2935
Start:  1 | Cycle:  4 | Step:  900 | Energy:     -5.12004 | Acceptance Rate: 0.5956 (536 ) | Temperature: 0.0280 | Step size: 0.2801
Start:  1 | Cycle:  4 | Step: 1000 | Energy:     -5.02699 | Acceptance Rate: 0.6050 (605 ) | Temperature: 0.0267 | Step size: 0.2668
Start:  1 | Cycle:  4 | Step: 1100 | Energy:     -5.09562 | Acceptance Rate: 0.6082 (669 ) | Temperature: 0.0253 | Step size: 0.2535
Start:  1 | Cycle:  4 | Step: 1200 | Energy:     -5.05571 | Acceptance Rate: 0.6125 (735 ) | Temperature: 0.0240 | Step size: 0.2401
Start:  1 | Cycle:  4 | Step: 1300 | Energy:     -5.12959 | Acceptance Rate: 0.6200 (806 ) | Temperature: 0.0227 | Step size: 0.2268
Start:  1 | Cycle:  4 | Step: 1400 | Energy:     -5.15095 | Acceptance Rate: 0.6314 (884 ) | Temperature: 0.0213 | Step size: 0.2135
Start:  1 | Cycle:  4 | Step: 1500 | Energy:     -5.14872 | Acceptance Rate: 0.6287 (943 ) | Temperature: 0.0200 | Step size: 0.2001
