(   MC)        60000 | ⚡E:  3.464e+03 ▶️ ⚡Amber:  2.563e+03 & ⚡Other:  9.002e+02 | Dihedral: 3.14e+00 | Crankshaft: 3.14e+00 | AR: 0.4556 | T: 210.00
(   MC)        70000 | ⚡E:  2.525e+03 ▶️ ⚡Amber:  2.108e+03 & ⚡Other:  4.168e+02 | Dihedral: 3.14e+00 | Crankshaft: 3.14e+00 | AR: 0.4521 | T: 195.00
(   MC)        80000 | ⚡E:  2.945e+03 ▶️ ⚡Amber:  2.572e+03 & ⚡Other:  3.731e+02 | Dihedral: 3.14e+00 | Crankshaft: 3.14e+00 | AR: 0.4453 | T: 180.00
(   MC)        90000 | ⚡E:  2.494e+03 ▶️ ⚡Amber:  1.963e+03 & ⚡Other:  5.317e+02 | Dihedral: 3.14e+00 | Crankshaft: 3.14e+00 | AR: 0.4402 | T: 165.00
(   MC)       100000 | ⚡E:  2.545e+03 ▶️ ⚡Amber:  2.097e+03 & ⚡Other:  4.484e+02 | Dihedral: 3.14e+00 | Crankshaft: 3.14e+00 | AR: 0.4342 | T: 150.00
(   MC)       110000 | ⚡E:  2.870e+03 ▶️ ⚡Amber:  2.451e+03 & ⚡Other:  4.187e+02 | Dihedral: 3.14e+00 | Crankshaft: 3.14e+00 | AR: 0.4276 | T: 135.00
(   MC)       120000 | ⚡E:  2.460e+03 ▶️ ⚡Amber:  1.884e+03 & ⚡Other:  5.760e+02 | Dihedral: 3.14e+00 | Crankshaft: 3.14e+00 | AR: 0.4190 | T: 120.00
(   MC)       130000 | ⚡E:  3.056e+03 ▶️ ⚡Amber:  2.738e+03 & ⚡Other:  3.186e+02 | Dihedral: 3.14e+00 | Crankshaft: 3.14e+00 | AR: 0.4114 | T: 105.00
(   MC)       140000 | ⚡E:  1.730e+03 ▶️ ⚡Amber:  1.449e+03 & ⚡Other:  2.810e+02 | Dihedral: 3.14e+00 | Crankshaft: 3.14e+00 | AR: 0.4027 | T: 90.00
(   MC)       150000 | ⚡E:  1.828e+03 ▶️ ⚡Amber:  1.473e+03 & ⚡Other:  3.550e+02 | Dihedral: 3.14e+00 | Crankshaft: 3.14e+00 | AR: 0.3933 | T: 75.00
