(REFNM)           28 | ⚡E:  2.676e+03 ▶️ ⚡Amber:  2.421e+03 & ⚡Other:  2.551e+02 | DH: 1.57e-02 | CS: 1.57e-02 | BR:     0.02 | AR: 0.7143 | T: 200.00
(REFNM)           29 | ⚡E:  2.676e+03 ▶️ ⚡Amber:  2.421e+03 & ⚡Other:  2.551e+02 | DH: 1.57e-02 | CS: 1.57e-02 | BR:     0.02 | AR: 0.6897 | T: 200.00
(REFNM)           30 | ⚡E:  2.701e+03 ▶️ ⚡Amber:  2.443e+03 & ⚡Other:  2.576e+02 | DH: 1.57e-02 | CS: 1.57e-02 | BR:     0.02 | AR: 0.7000 | T: 200.00
(REFNM)           31 | ⚡E:  2.701e+03 ▶️ ⚡Amber:  2.443e+03 & ⚡Other:  2.576e+02 | DH: 1.57e-02 | CS: 1.57e-02 | BR:     0.02 | AR: 0.6774 | T: 200.00
(REFNM)           32 | ⚡E:  2.914e+03 ▶️ ⚡Amber:  2.656e+03 & ⚡Other:  2.580e+02 | DH: 1.57e-02 | CS: 1.57e-02 | BR:     0.02 | AR: 0.6875 | T: 200.00
(REFNM)           33 | ⚡E:  2.977e+03 ▶️ ⚡Amber:  2.586e+03 & ⚡Other:  3.916e+02 | DH: 1.57e-02 | CS: 1.57e-02 | BR:     0.02 | AR: 0.6970 | T: 200.00
(REFNM)           34 | ⚡E:  2.977e+03 ▶️ ⚡Amber:  2.586e+03 & ⚡Other:  3.916e+02 | DH: 1.57e-02 | CS: 1.57e-02 | BR:     0.02 | AR: 0.6765 | T: 200.00
(REFNM)           35 | ⚡E:  3.015e+03 ▶️ ⚡Amber:  2.632e+03 & ⚡Other:  3.825e+02 | DH: 1.57e-02 | CS: 1.57e-02 | BR:     0.02 | AR: 0.6857 | T: 200.00
(REFNM)           36 | ⚡E:  3.007e+03 ▶️ ⚡Amber:  2.627e+03 & ⚡Other:  3.804e+02 | DH: 1.57e-02 | CS: 1.57e-02 | BR:     0.02 | AR: 0.6944 | T: 200.00
(REFNM)           37 | ⚡E:  3.007e+03 ▶️ ⚡Amber:  2.627e+03 & ⚡Other:  3.804e+02 | DH: 1.57e-02 | CS: 1.57e-02 | BR:     0.02 | AR: 0.6757 | T: 200.00
(REFNM)           38 | ⚡E:  3.007e+03 ▶️ ⚡Amber:  2.627e+03 & ⚡Other:  3.804e+02 | DH: 1.57e-02 | CS: 1.57e-02 | BR:     0.02 | AR: 0.6579 | T: 200.00
(REFNM)           39 | ⚡E:  2.660e+03 ▶️ ⚡Amber:  2.278e+03 & ⚡Other:  3.821e+02 | DH: 1.57e-02 | CS: 1.57e-02 | BR:     0.02 | AR: 0.6667 | T: 200.00
(REFNM)           40 | ⚡E:  2.773e+03 ▶️ ⚡Amber:  2.395e+03 & ⚡Other:  3.786e+02 | DH: 1.57e-02 | CS: 1.57e-02 | BR:     0.02 | AR: 0.6750 | T: 200.00
(REFNM)           41 | ⚡E:  2.855e+03 ▶️ ⚡Amber:  2.477e+03 & ⚡Other:  3.786e+02 | DH: 1.57e-02 | CS: 1.57e-02 | BR:     0.02 | AR: 0.6829 | T: 200.00
